Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,Training_R2,Testing_R2
-1.4498,-0.6345,-0.4731,0.1664,2.7418,9.2404,0.5855632856922144,0.7689896535769023
-1.4509,-0.6368,-0.4468,0.1428,2.4542,9.3745,0.6207746839191075,0.4825162775683407
-1.1903,-0.6108,-0.4559,0.1286,2.6210000000000004,8.972999999999997,0.5878525134681264,-0.3254822274728437
-1.8988,-0.6699,-0.4147,0.0565,2.6836,10.2351,0.6441879964334337,0.5392384031545212
-1.3552,-0.5886,-0.4584,0.1116,3.0085,9.1652,0.5857467393522346,0.017739925247949758
-1.6642,-0.6355,-0.4569,0.1383,2.9007,9.5922,0.6213156256344257,-0.12313292671482312
-1.1852,-0.6436,-0.4424,0.1676,1.2856,9.089,0.6167586758055478,0.2796579612853705
-1.111,-0.645,-0.3806,0.0958,1.5936,9.1635,0.5882583919253521,0.4188255459538892
-1.1155,-0.63,-0.4434,0.1284,2.0307,9.0226,0.5898111704989059,0.30537383383236005
-1.556,-0.6445,-0.4383,0.1344,2.3662,9.5164,0.6198437382106461,0.4232112996438758
-1.1938,-0.6171,-0.4641,0.1813,2.2087,8.9283,0.6048178963657467,0.09089369986338293
-1.6075,-0.617,-0.4735,0.1548,2.7515,9.4668,0.6307335535348284,0.2186823917301032
-1.2185,-0.602,-0.4752,0.1465,2.5017,8.9554,0.5942254138700296,0.04277282922005998
-1.4585,-0.6241,-0.4816,0.1456,2.9066,9.2695,0.6046627109639432,-0.003913273193296485
-1.4172,-0.6099,-0.4492,0.1346,3.1889999999999996,9.2188,0.5968511421862528,0.3574403622746397
-1.3281,-0.6312,-0.4466,0.1251,2.4393,9.2437,0.6009589486064063,0.21675079759626736
-1.2434,-0.6202,-0.4155,0.1095,1.8908,9.2506,0.5892747764027535,0.5682172566613394
-1.3805,-0.6191,-0.4201,0.0768,2.6504,9.4228,0.5994641189278862,0.6472296892346384
