,Fuel,T(K),T_Error(%),P(atm),P_Error(%),Fuel(%),Oxidizer(%),Diluant(%),Equv(phi),Diluant Type,Time(μs),Mode_of_measurement,Species_name,Species_measurement_Error,Measured_wavelength(nm),Shocktube_dia(cm),Research_group,Data_Source,Primary_C,Secondary_C,Tertiary_C,Quaternary_C,Other_Atom,P_P,P_S,P_T,P_Q,S_S,S_T,S_Q,T_T,T_Q,Q_Q,P_H,S_H,T_H
720,CCCCCCC,850,±1.8,19.92,,1.874,20.6,77.526,1,N2,1653,Species,OH,,306.7,5,Stanford,blend_surrogate_fuels,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
721,CCCCCCC,906,±1.8,19.87,,1.874,20.6,77.526,1,N2,1836,Species,OH,,306.7,5,Stanford,blend_surrogate_fuels,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
722,CCCCCCC,1012,±1.8,18.13,,1.874,20.6,77.526,1,N2,944,Species,OH,,306.7,5,Stanford,blend_surrogate_fuels,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
723,CCCCCCC,1048,±1.8,16.72,,1.874,20.6,77.526,1,N2,854,Species,OH,,306.7,5,Stanford,blend_surrogate_fuels,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
724,CCCCCCC,909,±1.8,53.9,,1.874,20.6,77.526,1,N2,254,Species,OH,,306.7,5,Stanford,blend_surrogate_fuels,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
725,CCCCCCC,923,±1.8,60,,1.874,20.6,77.526,1,N2,244,Species,OH,,306.7,5,Stanford,blend_surrogate_fuels,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
726,CCCCCCC,926,±1.8,60.6,,1.874,20.6,77.526,1,N2,233,Species,OH,,306.7,5,Stanford,blend_surrogate_fuels,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
727,CCCCCCC,932,±1.8,55.4,,1.874,20.6,77.526,1,N2,323,Species,OH,,306.7,5,Stanford,blend_surrogate_fuels,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
728,CCCCCCC,985,±1.8,48.6,,1.874,20.6,77.526,1,N2,364,Species,OH,,306.7,5,Stanford,blend_surrogate_fuels,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
729,CCCCCCC,1007,±1.8,57.7,,1.874,20.6,77.526,1,N2,232,Species,OH,,306.7,5,Stanford,blend_surrogate_fuels,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
730,CCCCCCC,1013,±1.8,53.6,,1.874,20.6,77.526,1,N2,292,Species,OH,,306.7,5,Stanford,blend_surrogate_fuels,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
731,CCCCCCC,1023,±1.8,54.2,,1.874,20.6,77.526,1,N2,261,Species,OH,,306.7,5,Stanford,blend_surrogate_fuels,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
732,CCCCCCC,1027,±1.8,59.1,,1.874,20.6,77.526,1,N2,237,Species,OH,,306.7,5,Stanford,blend_surrogate_fuels,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
733,CCCCCCC,1057,±1.8,50,,1.874,20.6,77.526,1,N2,194,Species,OH,,306.7,5,Stanford,blend_surrogate_fuels,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
734,CCCCCCC,1063,±1.8,53.1,,1.874,20.6,77.526,1,N2,179,Species,OH,,306.7,5,Stanford,blend_surrogate_fuels,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
735,CCCCCCC,1115,±1.8,52.3,,1.874,20.6,77.526,1,N2,102,Species,OH,,306.7,5,Stanford,blend_surrogate_fuels,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
736,CCCCCCC,1395,±1,1.72,,0.05,0.55,99.4,1,Ar,878,Species,CH3,,216,15.3,Stanford,iso_octane_heptane,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
737,CCCCCCC,1461,±1,1.67,,0.05,0.55,99.4,1,Ar,366,Species,CH3,,216,15.3,Stanford,iso_octane_heptane,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
738,CCCCCCC,1546,±1,1.61,,0.05,0.55,99.4,1,Ar,162,Species,CH3,,216,15.3,Stanford,iso_octane_heptane,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
739,CCCCCCC,1229,±1,15.13,,0.1,2.2,97.7,0.5,Ar,708,Species,OH,,306.7,7.5,Stanford,n_heptane_methylcyclohexane,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
740,CCCCCCC,1230,±1,15.81,,0.1,2.2,97.7,0.5,Ar,698,Species,OH,,306.7,7.5,Stanford,n_heptane_methylcyclohexane,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
741,CCCCCCC,1236,±1,15.28,,0.1,2.2,97.7,0.5,Ar,652,Species,OH,,306.7,7.5,Stanford,n_heptane_methylcyclohexane,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
742,CCCCCCC,1271,±1,15,,0.1,2.2,97.7,0.5,Ar,377,Species,OH,,306.7,7.5,Stanford,n_heptane_methylcyclohexane,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
743,CCCCCCC,1358,±1,2.436,±1,0.03,0.33,99.64,1,Ar,1280,Species,OH,,306.7,15.3,Stanford,n_heptane_oxidation,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
744,CCCCCCC,1368,±1,2.86,±1,0.03,0.33,99.64,1,Ar,1810,Species,OH,,306.7,15.3,Stanford,n_heptane_oxidation,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
745,CCCCCCC,1375,±1,2.282,±1,0.03,0.33,99.64,1,Ar,1661,Species,OH,,306.7,15.3,Stanford,n_heptane_oxidation,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
746,CCCCCCC,1378,±1,2.326,±1,0.03,0.33,99.64,1,Ar,1330,Species,OH,,306.7,15.3,Stanford,n_heptane_oxidation,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
747,CCCCCCC,1494,±1,2.155,±1,0.03,0.33,99.64,1,Ar,1330,Species,OH,,306.7,15.3,Stanford,n_heptane_oxidation,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
748,CCCCCCC,1494,±1,2.155,±1,0.03,0.33,99.64,1,Ar,308,Species,OH,,306.7,15.3,Stanford,n_heptane_oxidation,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
749,CCCCCCC,1502,±1,2.262,±1,0.03,0.33,99.64,1,Ar,280,Species,OH,,306.7,15.3,Stanford,n_heptane_oxidation,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
750,CCCCCCC,1506,±1,2.36,±1,0.03,0.33,99.64,1,Ar,189,Species,OH,,306.7,15.3,Stanford,n_heptane_oxidation,2,5,,,,0,2,0,0,4,0,0,0,0,0,6,10,0
