Fuel,Primary Carbon,Secondary Carbon,Tertiary Carbon,Quaternary Carbon,T(K),T+AF8-Error(+ACU-),P(atm),P+AF8-Error(+ACU-),Fuel(+ACU-),Oxidizer(+ACU-),Diluant(+ACU-),Equv(phi),Diluant Type,Time(+A7w-s),Mode+AF8-of+AF8-measurement,Species+AF8-name,Species+AF8-measurement+AF8-Error,Measured+AF8-wavelength(nm),Shocktube+AF8-dia(cm),Research+AF8-group,Data+AF8-Source
C,0,0,0,0,1486,NaN,44.3,NaN,20,13.3,66.7,3,N2,115,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1511,NaN,39.3,NaN,20,13.3,66.7,3,N2,106,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1290,NaN,72.1,NaN,20,13.3,66.7,3,N2,431,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1344,NaN,76.1,NaN,20,13.3,66.7,3,N2,259,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1366,NaN,74,NaN,20,13.3,66.7,3,N2,194,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1408,NaN,76.5,NaN,20,13.3,66.7,3,N2,124,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1466,NaN,75.7,NaN,20,13.3,66.7,3,N2,74,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1227,NaN,92,NaN,20,13.3,66.7,3,N2,504,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1273,NaN,86.9,NaN,20,13.3,66.7,3,N2,445,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
C,0,0,0,0,1316,NaN,84.1,NaN,20,13.3,66.7,3,N2,330,Pressure,NaN,NaN,NaN,5,Stanford,Low+AF8-Dilution+AF8-CH+AF8-4 /  Ram+AF8-Accelerator+AF8-CH+AF8-4
