Constant,P_H,P_S,S_H,S_S,Temp(K),Testing_R2,Training_R2,log_Fuel(%),log_Oxidizer(%),log_P(atm)
100.6983,-18.9704,-6.3235,-1.2938,2.5148,-41.9843,0.9091342095116244,0.9053537075647736,-0.1467,-0.3426,-1.0434
101.1749,-19.0761,-6.3587,-1.2981,2.5303,-42.177,0.8978920450549631,0.9084963731790756,-0.13,-0.3517,-1.0498
101.6667,-19.1998,-6.3999,-1.3083,2.5458,-42.4222,0.8896690687455423,0.9098292842126916,-0.1512,-0.3311,-1.0437
102.6218,-19.4713,-6.4904,-1.3335,2.5785,-42.7688,0.9098957663268088,0.9045605452556764,-0.1596,-0.3213,-1.0468
103.5721,-19.6775,-6.5592,-1.3308,2.6142,-43.1887,0.8725257651497037,0.9139161147705798,-0.1264,-0.3606,-1.0415
101.2479,-19.1037,-6.3679,-1.3097,2.5291,-42.2236,0.906566937408977,0.9056715536768444,-0.1624,-0.3235,-1.0464
102.0575,-19.2905,-6.4302,-1.319,2.5556,-42.5664,0.8936658751881009,0.908862760895044,-0.1501,-0.3332,-1.0484
99.855,-18.7858,-6.2619,-1.2808,2.4906,-41.6019,0.9008316942773262,0.9067787738206886,-0.1396,-0.3422,-1.0436
100.5685,-18.9488,-6.3163,-1.2912,2.5125,-41.9209,0.9027460375401118,0.9062445023543158,-0.1354,-0.3441,-1.0422
102.5701,-19.456,-6.4853,-1.3188,2.5833,-42.7948,0.8694157961723811,0.9139857095548606,-0.1501,-0.3286,-1.0377
101.8832,-19.2758,-6.4253,-1.3068,2.5592,-42.5065,0.8994614775111859,0.9075799504570822,-0.1452,-0.3411,-1.0349
101.4554,-19.1494,-6.3831,-1.308,2.5376,-42.2869,0.8914690429334196,0.9092076175652772,-0.1386,-0.3444,-1.0498
101.3249,-19.1323,-6.3774,-1.3038,2.5368,-42.2315,0.8990039199666363,0.9075711303848576,-0.1397,-0.3412,-1.0462
102.1862,-19.3166,-6.4389,-1.3149,2.562,-42.6041,0.8967151033887709,0.9084756288995864,-0.132,-0.3557,-1.0465
102.935,-19.489,-6.4963,-1.3358,2.5803,-42.9319,0.9071307281505538,0.9064871780779408,-0.1578,-0.3346,-1.0537
100.8983,-19.0097,-6.3366,-1.3051,2.5157,-42.0752,0.9061742035335034,0.905258744440842,-0.1616,-0.329,-1.0457
102.1865,-19.3563,-6.4521,-1.3119999999999998,2.5701,-42.5882,0.881933521050266,0.9113789505150334,-0.1269,-0.3541,-1.0401
102.5621,-19.4281,-6.476,-1.3229,2.5766,-42.767,0.8888888939639396,0.9102687384969552,-0.1404,-0.3407,-1.0466
101.0791,-19.0727,-6.3576,-1.2954,2.5311,-42.1401,0.8877908875482307,0.9104504055126276,-0.1342,-0.3468,-1.0434
101.8367,-19.2599,-6.42,-1.3117,2.5541,-42.4489,0.8988839498353913,0.9073419774790354,-0.1388,-0.3456,-1.0418
100.3879,-18.930999999999997,-6.3103,-1.2875,2.5114,-41.8631,0.9069777436751704,0.9056259439203096,-0.1516,-0.3263,-1.0377
101.3183,-19.125,-6.375,-1.3022,2.5364,-42.2464,0.897194897444594,0.9081290307404084,-0.1395,-0.3421,-1.0434
102.2557,-19.405,-6.4683,-1.3179,2.5752,-42.6024,0.9011478077876228,0.9065441590215552,-0.1352,-0.3391,-1.0393
101.3184,-19.1594,-6.3865,-1.3021,2.5422,-42.23,0.8897095002912601,0.9094527970096172,-0.1397,-0.3335,-1.0411
100.568,-18.9595,-6.3198,-1.2901,2.5149,-41.9377,0.8897911068192936,0.9092373722941912,-0.1449,-0.3311,-1.0409
99.9845,-18.806,-6.2687,-1.2893,2.4897,-41.669,0.9121474805774956,0.9044069002267968,-0.1559,-0.3273,-1.0496
